,opeid,name,state,prog-length,school-type-num,dual-num-2014,dual-denom-2014,drate-2014,prate-2014,ethnic-code,program,dual-num-2013,dual-denom-2013,drate-2013,prate-2013,dual-num-2012,dual-denom-2012,drate-2012,prate-2012,school-type-label,non_default
751,2154,HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY  ,MA,8,2,1,38,2.6,A,5,D,2,46,4.3,A,0,38,0.0,A,"private, non-profit",2012
757,2164,NEW ENGLAND COLLEGE OF OPTOMETRY (THE)                           ,MA,8,2,0,98,0.0,P,5,D,0,90,0.0,P,1,91,1.0,P,"private, non-profit",2014 2013
812,2242,CALVIN THEOLOGICAL SEMINARY                                      ,MI,8,2,0,88,0.0,B,5,D,0,37,0.0,A,1,81,1.2,B,"private, non-profit",2014 2013
815,2248,CRANBROOK ACADEMY OF ART                                         ,MI,8,2,0,58,0.0,A,5,D,2,60,3.3,A,0,64,0.0,A,"private, non-profit",2014 2012
833,2275,KALAMAZOO COLLEGE                                                ,MI,6,2,2,272,0.7,A,5,D,0,265,0.0,A,5,204,2.4,A,"private, non-profit",2013
868,2331,WESTERN THEOLOGICAL SEMINARY                                     ,MI,8,2,0,30,0.0,A,5,D,0,36,0.0,A,0,36,0.0,A,"private, non-profit",ALL
887,2357,LUTHER SEMINARY                                                  ,MN,8,2,3,95,3.1,A,5,D,4,117,3.4,A,0,110,0.0,A,"private, non-profit",2012
943,2457,CONCORDIA SEMINARY                                               ,MO,8,2,0,75,0.0,A,5,D,0,84,0.0,A,1,92,1.0,A,"private, non-profit",2014 2013
968,2494,NAZARENE THEOLOGICAL SEMINARY                                    ,MO,8,2,0,60,0.0,A,5,D,0,41,0.0,A,1,51,1.9,A,"private, non-profit",2014 2013
978,2509,SAINT PAUL SCHOOL OF THEOLOGY                                    ,KS,8,2,0,33,0.0,A,5,D,4,51,7.8,A,1,45,2.2,A,"private, non-profit",2014
1120,2740,JEWISH THEOLOGICAL SEMINARY OF AMERICA (THE)                     ,NY,8,2,1,60,1.6,P,5,D,0,64,0.0,P,0,65,0.0,P,"private, non-profit",2013 2012
1214,2887,ALBANY MEDICAL COLLEGE                                           ,NY,8,2,3,198,1.5,P,5,D,0,191,0.0,P,1,197,0.5,P,"private, non-profit",2013
1217,2892,UNITED STATES MERCHANT MARINE ACADEMY                            ,NY,6,1,0,49,0.0,A,5,D,1,64,1.5,A,2,68,2.9,A,public,2014
1333,3075,METHODIST THEOLOGICAL SCHOOL IN OHIO                             ,OH,8,2,0,46,0.0,A,5,D,1,55,1.8,A,6,63,9.5,A,"private, non-profit",2014
1441,3251,CURTIS INSTITUTE OF MUSIC                                        ,PA,8,2,0,58,0.0,B,5,D,0,30,0.0,A,1,41,2.4,B,"private, non-profit",2014 2013
1456,3274,HAVERFORD COLLEGE                                                ,PA,8,2,0,118,0.0,A,5,D,4,123,3.2,A,1,136,0.7,A,"private, non-profit",2014
1516,3370,SWARTHMORE COLLEGE                                               ,PA,6,2,7,181,3.8,A,5,D,0,143,0.0,A,3,182,1.6,A,"private, non-profit",2013
1528,3393,WESTMINSTER THEOLOGICAL SEMINARY                                 ,PA,8,2,0,71,0.0,A,5,D,0,49,0.0,A,3,65,4.6,A,"private, non-profit",2014 2013
1616,3517,SOUTHERN COLLEGE OF OPTOMETRY                                    ,TN,7,2,0,124,0.0,P,5,D,0,124,0.0,P,0,119,0.0,P,"private, non-profit",ALL
1700,3628,TEXARKANA COLLEGE                                                ,TX,5,1,94,467,20.1,A,5,D,44,141,31.2,A,0,0,0.0,A,public,2012
1785,3743,UNION PRESBYTERIAN SEMINARY                                      ,VA,8,2,1,47,2.1,P,5,D,1,45,2.2,P,0,41,0.0,P,"private, non-profit",2012
1820,3787,SEATTLE CENTRAL COLLEGE                                          ,WA,6,1,15,83,18.0,P,5,D,0,0,0.0,P,0,0,0.0,P,public,2013 2012
1834,3803,WHITMAN COLLEGE                                                  ,WA,6,2,0,230,0.0,A,5,D,1,246,0.4,A,5,243,2.0,A,"private, non-profit",2014
1872,3874,NASHOTAH HOUSE                                                   ,WI,8,2,1,41,2.4,B,5,D,1,35,2.8,B,0,39,0.0,B,"private, non-profit",2012
1899,3939,INTER AMERICAN UNIVERSITY OF PUERTO RICO - AGUADILLA CAMPUS      ,PR,8,2,2716,25770,10.5,P,5,D,958,9056,10.5,P,0,0,0.0,A,"private, non-profit",2012
1935,4012,HEBREW UNIVERSITY OF JERUSALEM (THE)                             ,FC,8,5,0,61,0.0,B,5,D,0,32,0.0,A,2,52,3.8,B,foreign private,2014 2013
1939,4054,HEBREW UNION COLLEGE - JEWISH INSTITUTE OF RELIGION              ,NY,8,2,0,130,0.0,P,5,D,0,125,0.0,P,1,253,0.3,P,"private, non-profit",2014 2013
2043,5029,INTER AMERICAN UNIVERSITY OF PUERTO RICO - PONCE CAMPUS          ,PR,8,2,2716,25770,10.5,P,5,D,958,9056,10.5,P,0,0,0.0,A,"private, non-profit",2012
2045,5102,SCHOOL OF DIAGNOSTIC IMAGING-CLEVELAND CLINIC HEALTH SYSTEM      ,OH,11,2,0,44,0.0,B,5,D,1,41,2.4,B,1,41,2.4,B,"private, non-profit",2014
2053,5256,WIREGRASS GEORGIA TECHNICAL COLLEGE                              ,GA,5,1,164,572,28.6,P,5,D,64,198,32.3,P,0,0,0.0,P,public,2012
2063,5279,GREATER LOWELL REGIONAL VOCATIONAL TECHNICAL SCHOOL              ,MA,3,1,6,41,14.6,A,5,D,0,38,0.0,A,1,39,2.5,A,public,2013
2121,5622,GEORGIA PIEDMONT TECHNICAL COLLEGE                               ,GA,5,1,189,906,20.8,A,5,D,30,167,17.9,A,0,0,0.0,A,public,2012
2136,6214,BLESSING HOSPITAL                                                ,IL,8,2,6,83,7.2,P,5,D,0,80,0.0,P,1,68,1.4,P,"private, non-profit",2013
2156,6445,BILL AND SANDRA POMEROY COLLEGE OF NURSING AT CROUSE HOSPITAL    ,NY,5,2,4,146,2.7,A,5,D,0,119,0.0,A,4,100,4.0,A,"private, non-profit",2013
2157,6448,"ELLIS MEDICINE, THE BELANGER SCHOOL OF NURSING                   ",NY,5,2,3,50,6.0,A,5,D,0,47,0.0,A,1,42,2.3,A,"private, non-profit",2013
2161,6478,MERCY SCHOOL OF NURSING                                          ,NC,4,1,3,52,5.7,A,5,D,2,52,3.8,A,0,42,0.0,A,public,2012
2165,6507,TRINITY HEALTH SYSTEM SCHOOL OF NURSING                          ,OH,4,2,8,52,15.3,A,5,D,3,48,6.2,A,0,43,0.0,A,"private, non-profit",2012
2171,6574,"ST. LUKE'S HOSPITAL OF BETHLEHEM, PA                             ",PA,4,2,0,88,0.0,A,5,D,2,59,3.3,A,4,97,4.1,A,"private, non-profit",2014
2175,6583,WESTERN PENNSYLVANIA HOSPITAL SCHOOL OF NURSING                  ,PA,4,2,0,36,0.0,A,5,D,1,46,2.1,A,0,42,0.0,A,"private, non-profit",2014 2012
2176,6591,ST. JOSEPH SCHOOL OF NURSING                                     ,RI,11,3,1,41,2.4,A,5,D,2,45,4.4,A,0,41,0.0,A,for-profit (proprietary),2012
2180,6639,BELLIN COLLEGE                                                   ,WI,8,2,1,90,1.1,A,5,D,0,98,0.0,A,1,95,1.0,A,"private, non-profit",2013
2182,6666,LUTHERAN SCHOOL OF NURSING                                       ,MO,4,3,0,95,0.0,A,5,D,2,74,2.7,A,0,67,0.0,A,for-profit (proprietary),2014 2012
2189,6692,UNIVERSITY OF LEEDS                                              ,FC,8,5,1,33,3.0,A,5,D,0,36,0.0,A,1,49,2.0,A,foreign private,2013
2193,6697,QUEEN MARY UNIVERSITY OF LONDON                                  ,FC,8,5,0,43,0.0,A,5,D,0,32,0.0,A,2,33,6.0,A,foreign private,2014 2013
2194,6699,UNIVERSITY OF SUSSEX                                             ,FC,8,5,0,30,0.0,A,5,D,2,53,3.7,A,0,37,0.0,A,foreign private,2014 2012
2195,6700,UNIVERSITY OF YORK                                               ,FC,8,5,3,51,5.8,A,5,D,1,52,1.9,A,0,48,0.0,A,foreign private,2012
2196,6704,UNIVERSITY COLLEGE CORK                                          ,FC,8,5,0,54,0.0,B,5,D,1,49,2.0,B,2,44,4.5,B,foreign private,2014
2267,7142,LYLE'S COLLEGE OF BEAUTY                                         ,CA,3,3,5,44,11.3,A,5,D,3,13,23.0,B,0,0,0.0,A,for-profit (proprietary),2012
2312,7469,HUSSIAN COLLEGE                                                  ,PA,6,3,1,32,3.1,A,5,D,2,47,4.2,A,0,53,0.0,A,for-profit (proprietary),2012
2326,7544,APPALACHIAN BIBLE COLLEGE                                        ,WV,8,2,0,45,0.0,A,5,D,1,41,2.4,A,3,52,5.7,A,"private, non-profit",2014
2341,7632,UNIVERSITY OF BRISTOL                                            ,FC,8,5,1,30,3.3,A,5,D,0,43,0.0,A,2,31,6.4,A,foreign private,2013
2358,7705,ROYAL COLLEGE OF SURGEONS IN IRELAND                             ,FC,8,6,0,42,0.0,B,5,D,0,67,0.0,B,0,55,0.0,B,foreign for-profit,ALL
2370,7783,MIDDLE TENNESSEE SCHOOL OF ANESTHESIA                            ,TN,8,2,0,59,0.0,A,5,D,0,73,0.0,A,0,70,0.0,A,"private, non-profit",ALL
2397,8067,LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER IN SHREVEPORT  ,LA,8,1,0,219,0.0,P,5,D,1,224,0.4,P,2,226,0.8,P,public,2014
2416,8200,JAMESON MEMORIAL HOSPITAL SCHOOL OF NURSING                      ,PA,4,2,3,46,6.5,A,5,D,0,35,0.0,A,2,54,3.7,A,"private, non-profit",2013
2438,8377,UNIVERSITEIT VAN AMSTERDAM                                       ,FC,8,5,4,39,10.2,P,5,D,1,52,1.9,P,0,35,0.0,P,foreign private,2012
2442,8398,UNIVERSITY OF SHEFFIELD (THE)                                    ,FC,8,5,2,38,5.2,A,5,D,0,36,0.0,A,0,39,0.0,A,foreign private,2013 2012
2448,8444,SIMON FRASER UNIVERSITY                                          ,FC,8,5,2,40,5.0,A,5,D,1,44,2.2,A,0,40,0.0,A,foreign private,2012
2451,8452,ABERYSTWYTH UNIVERSITY                                           ,FC,8,5,2,45,4.4,B,5,D,1,53,1.8,B,0,34,0.0,B,foreign private,2012
2452,8460,UNIVERSITY OF NEWCASTLE UPON TYNE                                ,FC,8,5,1,53,1.8,A,5,D,0,43,0.0,A,2,96,2.0,B,foreign private,2013
2453,8461,UNIVERSITY OF SAINT ANDREWS                                      ,FC,8,5,0,128,0.0,A,5,D,6,135,4.4,A,2,97,2.0,A,foreign private,2014
2468,8586,SWANSEA UNIVERSITY                                               ,FC,8,5,1,43,2.3,B,5,D,1,39,2.5,B,0,42,0.0,B,foreign private,2012
2469,8587,UNIVERSITY OF DURHAM                                             ,FC,8,5,3,114,2.6,A,5,D,0,96,0.0,A,0,81,0.0,A,foreign private,2013 2012
2482,8665,UNIVERSITY OF KENT                                               ,FC,8,5,1,49,2.0,A,5,D,0,43,0.0,A,3,55,5.4,A,foreign private,2013
2483,8670,UNIVERSITY OF NEW SOUTH WALES (THE)                              ,FC,8,5,2,113,1.7,B,5,D,0,35,0.0,A,1,51,1.9,A,foreign private,2013
2510,8920,UNIVERSITY OF NOTTINGHAM                                         ,FC,8,5,1,34,2.9,A,5,D,0,30,0.0,A,1,46,2.1,A,foreign private,2013
2512,8939,CANNELLA SCHOOL OF HAIR DESIGN                                   ,IL,3,3,0,33,0.0,A,5,D,7,47,14.8,A,2,39,5.1,A,for-profit (proprietary),2014
2527,9084,"UNIVERSITY OF LONDON, BIRKBECK                                   ",FC,8,5,2,39,5.1,A,5,D,0,34,0.0,A,2,65,3.0,B,foreign private,2013
2543,9232,CATHOLIC THEOLOGICAL UNION AT CHICAGO                            ,IL,8,2,1,47,2.1,B,5,D,0,47,0.0,B,0,47,0.0,B,"private, non-profit",2013 2012
2561,9368,UNIVERSITY OF ABERDEEN                                           ,FC,8,5,1,41,2.4,A,5,D,1,47,2.1,A,0,43,0.0,A,foreign private,2012
2570,9442,UNIVERSITY OF EXETER                                             ,FC,8,5,2,91,2.1,B,5,D,0,38,0.0,A,2,82,2.4,B,foreign private,2013
2576,9486,TRINITY WESTERN UNIVERSITY                                       ,FC,8,6,3,49,6.1,A,5,D,2,50,4.0,A,0,51,0.0,A,foreign for-profit,2012
2579,9515,J. MICHAEL HARROLD BEAUTY ACADEMY                                ,IN,3,3,1,54,1.8,A,5,D,5,57,8.7,A,0,55,0.0,A,for-profit (proprietary),2012
2587,9567,TENNESSEE SCHOOL OF BEAUTY                                       ,TN,3,3,3,43,6.9,A,5,D,0,3,0.0,B,0,0,0.0,A,for-profit (proprietary),2013 2012
2615,9747,GORDON CONWELL THEOLOGICAL SEMINARY                              ,MA,8,2,8,188,4.2,P,5,D,1,182,0.5,P,0,185,0.0,P,"private, non-profit",2012
2624,9782,SAINT LUKE'S COLLEGE OF HEALTH SCIENCES                          ,MO,8,2,1,118,0.8,A,5,D,0,67,0.0,A,1,53,1.8,A,"private, non-profit",2013
2633,9860,UNIVERSITY OF SURREY                                             ,FC,8,5,0,41,0.0,P,5,D,0,41,0.0,P,0,34,0.0,P,foreign private,ALL
2646,9929,SUNY COLLEGE OF OPTOMETRY                                        ,NY,8,1,0,77,0.0,P,5,D,0,68,0.0,P,0,67,0.0,P,public,ALL
2654,9987,SAINT ANTHONY COLLEGE OF NURSING                                 ,IL,8,2,0,105,0.0,A,5,D,0,88,0.0,A,0,69,0.0,A,"private, non-profit",ALL
2670,10067,LUND UNIVERSITY                                                  ,FC,8,5,1,89,1.1,B,5,D,0,32,0.0,A,0,32,0.0,A,foreign private,2013 2012
2671,10084,UNIVERSITY OF CAPE TOWN                                          ,FC,8,5,1,68,1.4,B,5,D,0,59,0.0,B,0,59,0.0,B,foreign private,2013 2012
2672,10089,ROYAL CENTRAL SCHOOL OF SPEECH AND DRAMA (THE)                   ,FC,8,5,6,83,7.2,B,5,D,0,31,0.0,A,4,32,12.5,A,foreign private,2013
2680,10143,UNIVERSITY OF READING                                            ,FC,8,5,2,47,4.2,B,5,D,2,51,3.9,B,0,41,0.0,B,foreign private,2012
2695,10228,UNIVERSITY OF STIRLING                                           ,FC,8,5,2,64,3.1,B,5,D,1,54,1.8,B,0,39,0.0,B,foreign private,2012
2704,10338,EASTERN VIRGINIA MEDICAL SCHOOL                                  ,VA,8,1,2,257,0.7,A,5,D,1,279,0.3,A,0,250,0.0,A,public,2012
2725,10472,INSEAD                                                           ,FC,8,6,0,33,0.0,A,5,D,0,100,0.0,B,0,34,0.0,A,foreign for-profit,ALL
2730,10501,LAKEVIEW COLLEGE OF NURSING                                      ,IL,6,2,4,128,3.1,A,5,D,0,124,0.0,A,3,116,2.5,A,"private, non-profit",2013
2743,10599,INSTITUT D'ETUDES POLITIQUES DE PARIS                            ,FC,8,5,2,79,2.5,B,5,D,1,33,3.0,A,0,39,0.0,B,foreign private,2012
2751,10675,REGENT COLLEGE                                                   ,FC,8,6,1,81,1.2,B,5,D,0,39,0.0,A,2,94,2.1,B,foreign for-profit,2013
2752,10681,MACQUARIE UNIVERSITY                                             ,FC,8,5,2,63,3.1,B,5,D,2,69,2.8,B,0,30,0.0,A,foreign private,2012
2813,11282,OKLAHOMA STATE UNIVERSITY CENTER FOR HEALTH SCIENCES             ,OK,8,1,4,112,3.5,P,5,D,0,101,0.0,P,0,92,0.0,P,public,2013 2012
2825,11614,CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CENTER              ,NY,4,2,0,33,0.0,B,5,D,0,30,0.0,B,2,32,6.2,B,"private, non-profit",2014 2013
2836,11683,FRANKLIN UNIVERSITY SWITZERLAND                                  ,FC,8,6,1,70,1.4,A,5,D,0,65,0.0,A,1,67,1.4,A,foreign for-profit,2013
2843,11732,MAYO CLINIC COLLEGE OF MEDICINE                                  ,MN,8,2,0,167,0.0,P,5,D,2,122,1.6,P,1,142,0.7,P,"private, non-profit",2014
2857,11919,BEAVER FALLS BEAUTY ACADEMY                                      ,PA,3,3,3,39,7.6,A,5,D,1,51,1.9,A,0,46,0.0,A,for-profit (proprietary),2012
2858,11921,WESTCHESTER SCHOOL OF BEAUTY CULTURE                             ,NY,3,3,3,64,4.6,A,5,D,3,40,7.5,A,0,4,0.0,B,for-profit (proprietary),2012
2876,12136,UNIVERSITY OF MANCHESTER (THE)                                   ,FC,8,5,0,71,0.0,P,5,D,4,66,6.0,P,2,68,2.9,P,foreign private,2014
2880,12187,BLACKSTONE VALLEY VOCATIONAL REGIONAL SCHOOL DISTRICT            ,MA,3,1,2,37,5.4,B,5,D,1,20,5.0,B,0,7,0.0,B,public,2012
2883,12215,BIRMINGHAM CITY UNIVERSITY                                       ,FC,8,5,0,31,0.0,B,5,D,0,25,0.0,B,2,21,9.5,B,foreign private,2014 2013
2912,12496,TONI & GUY HAIRDRESSING ACADEMY                                  ,WA,3,3,2,58,3.4,A,5,D,3,74,4.0,A,0,42,0.0,A,for-profit (proprietary),2012
2930,12766,"NATIONAL UNIVERSITY OF IRELAND, GALWAY                           ",FC,8,5,0,41,0.0,A,5,D,0,35,0.0,A,0,57,0.0,B,foreign private,ALL
2963,13074,AMERICAN BEAUTY COLLEGE                                          ,CA,3,3,12,70,17.1,A,5,D,2,30,6.6,A,0,6,0.0,B,for-profit (proprietary),2012
2968,13134,YESHIVATH BETH MOSHE                                             ,PA,8,2,0,43,0.0,B,5,D,0,47,0.0,B,0,44,0.0,B,"private, non-profit",ALL
3029,20876,CONCORDIA THEOLOGICAL SEMINARY                                   ,IN,8,2,0,63,0.0,P,5,D,1,64,1.5,P,2,75,2.6,P,"private, non-profit",2014
3030,20879,OXFORD BROOKES UNIVERSITY                                        ,FC,8,5,1,89,1.1,B,5,D,3,80,3.7,B,0,31,0.0,A,foreign private,2012
3042,20941,BEN-GURION UNIVERSITY OF THE NEGEV                               ,FC,7,5,0,42,0.0,A,5,D,1,32,3.1,A,0,44,0.0,A,foreign private,2014 2012
3043,20955,UNIVERSITY OF LONDON - LONDON BUSINESS SCHOOL                    ,FC,8,5,0,44,0.0,A,5,D,0,60,0.0,A,1,64,1.5,A,foreign private,2014 2013
3058,21019,ROEHAMPTON UNIVERSITY                                            ,FC,8,5,0,57,0.0,B,5,D,1,80,1.2,B,1,82,1.2,B,foreign private,2014
3094,21200,UNIVERSITY OF LONDON - THE COURTAULD INSTITUTE OF ART            ,FC,8,5,0,56,0.0,B,5,D,0,57,0.0,B,0,50,0.0,B,foreign private,ALL
3103,21252,MARGARET H. ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER    ,DE,4,2,0,39,0.0,B,5,D,1,33,3.0,B,1,25,4.0,B,"private, non-profit",2014
3124,21404,ST. JOSEPH SCHOOL OF NURSING                                     ,NH,5,2,0,69,0.0,A,5,D,3,60,5.0,A,3,69,4.3,A,"private, non-profit",2014
3152,21579,ROCHESTER GENERAL-ISABELLA GRAHAM HART SCHOOL OF PRACTICAL NURSIN,NY,3,2,1,37,2.7,A,5,D,0,65,0.0,A,6,49,12.2,A,"private, non-profit",2013
3165,21623,"IESE BUSINESS SCHOOL, UNIVERSITY OF NAVARRA                      ",FC,8,6,0,46,0.0,B,5,D,0,68,0.0,B,0,81,0.0,B,foreign for-profit,ALL
3180,21699,ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL                        ,MA,3,1,0,32,0.0,A,5,D,3,31,9.6,A,10,77,12.9,B,public,2014
3212,21858,MOLER BARBER COLLEGE                                             ,CA,3,3,12,64,18.7,A,5,D,4,12,33.3,B,0,0,0.0,A,for-profit (proprietary),2012
3216,21889,HOBE SOUND BIBLE COLLEGE                                         ,FL,6,2,4,74,5.4,B,5,D,4,76,5.2,B,0,32,0.0,A,"private, non-profit",2012
3218,21891,CEM COLLEGE                                                      ,PR,6,3,1,62,1.6,A,5,D,0,170,0.0,A,4,108,3.7,A,for-profit (proprietary),2013
3225,21951,UNIVERSITY OF WESTMINSTER                                        ,FC,8,5,3,48,6.2,A,5,D,3,30,10.0,A,0,38,0.0,A,foreign private,2012
3230,21989,MICHIGAN SCHOOL OF PROFESSIONAL PSYCHOLOGY                       ,MI,8,2,2,51,3.9,A,5,D,0,60,0.0,A,2,37,5.4,A,"private, non-profit",2013
3249,22095,UNIVERSITEIT UTRECHT                                             ,FC,8,5,3,66,4.5,B,5,D,1,62,1.6,B,0,31,0.0,A,foreign private,2012
3250,22100,UNIVERSITY OF LONDON - LONDON SCHOOL OF HYGIENE & TROPICAL MEDICI,FC,8,5,0,33,0.0,A,5,D,0,30,0.0,A,0,32,0.0,A,foreign private,ALL
3274,22253,UNIVERSITY OF CANTERBURY                                         ,FC,8,5,2,34,5.8,B,5,D,1,33,3.0,B,0,39,0.0,B,foreign private,2012
3279,22296,TEL AVIV UNIVERSITY SACKLER SCHOOL OF MEDICINE                   ,FC,8,5,0,39,0.0,A,5,D,0,46,0.0,A,0,55,0.0,A,foreign private,ALL
3290,22353,LONDON METROPOLITAN UNIVERSITY                                   ,FC,8,5,2,96,2.0,P,5,D,2,41,4.8,P,0,44,0.0,P,foreign private,2012
3292,22368,PROFESSIONAL BEAUTY SCHOOL                                       ,WA,4,3,9,31,29.0,A,5,D,11,88,12.5,B,0,31,0.0,A,for-profit (proprietary),2012
3304,22444,AMERICAN UNIVERSITY OF THE CARIBBEAN                             ,FC,7,7,5,395,1.2,A,5,D,2,375,0.5,A,0,337,0.0,A,,2012
3344,22713,WISCONSIN SCHOOL OF PROFESSIONAL PSYCHOLOGY                      ,WI,8,2,2,37,5.4,B,5,D,2,34,5.8,B,0,36,0.0,B,"private, non-profit",2012
3347,22736,QUEEN'S UNIVERSITY OF BELFAST (THE)                              ,FC,8,5,5,101,4.9,B,5,D,0,37,0.0,A,2,37,5.4,A,foreign private,2013
3349,22743,CONWAY SCHOOL OF LANDSCAPE DESIGN                                ,MA,8,2,1,31,3.2,B,5,D,0,30,0.0,B,0,42,0.0,B,"private, non-profit",2013 2012
3355,22768,WESTMINSTER THEOLOGICAL SEMINARY IN CALIFORNIA                   ,CA,8,2,0,33,0.0,A,5,D,1,40,2.5,A,1,36,2.7,A,"private, non-profit",2014
3387,22934,ECOLE DES HAUTES ETUDES COMMERCIALES                             ,FC,8,6,1,39,2.5,B,5,D,2,50,4.0,B,0,30,0.0,A,foreign for-profit,2012
3395,22993,TRINITY EPISCOPAL SCHOOL FOR MINISTRY                            ,PA,8,2,0,35,0.0,B,5,D,0,39,0.0,B,0,30,0.0,B,"private, non-profit",ALL
3429,23230,BIBLICAL THEOLOGICAL SEMINARY                                    ,PA,8,2,2,72,2.7,B,5,D,1,56,1.7,B,0,30,0.0,B,"private, non-profit",2012
3440,23299,FLORIDA INSTITUTE OF ULTRASOUND                                  ,FL,3,3,2,48,4.1,A,5,D,0,36,0.0,A,0,50,0.0,A,for-profit (proprietary),2013 2012
