OPEID,Name,Address,City,State,State Desc,Zip Code,Zip Ext,Prog Length,School Type,Year 1,Num 1,Denom 1,DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,Average or Greater than 30,Year 2,Num 2,Denom 2,DRate 2,PRate 2,Year 3,Num 3,Denom 3,DRate 3,PRate 3
1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM                              ,1720 2ND AVENUE SOUTH              LISTER HILL LIB,BIRMINGHAM          ,AL,ALABAMA                                                     ,35294,1150,8,1,2014,241,4224,5.7,P,5,07      ,4,False,2013,223,4159,5.3,P,2012,245,3937,6.2,P
1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE                              ,212 UNIVERSITY CENTER                             ,HUNTSVILLE          ,AL,ALABAMA                                                     ,35899,0001,8,1,2014,82,1511,5.4,A,5,05      ,4,False,2013,77,1464,5.2,A,2012,93,1513,6.1,A
1057,UNIVERSITY OF SOUTH ALABAMA                                      ,307 UNIVERSITY BOULEVARD NORTH                    ,MOBILE              ,AL,ALABAMA                                                     ,36688,0002,8,1,2014,311,3809,8.1,P,5,01      ,4,False,2013,284,3625,7.8,P,2012,289,3847,7.5,P
1061,ALASKA PACIFIC UNIVERSITY                                        ,4101 UNIVERSITY DRIVE                             ,ANCHORAGE           ,AK,ALASKA                                                      ,99508,4672,8,2,2014,9,169,5.3,A,5,AL      ,10,False,2013,10,199,5,A,2012,16,207,7.7,A
1063,UNIVERSITY OF ALASKA FAIRBANKS                                   ,"3RD FLOOR, SIGNER'S HALL                          ",FAIRBANKS           ,AK,ALASKA                                                      ,99775,7500,8,1,2014,162,1304,12.4,P,5,AL      ,10,False,2013,164,1359,12,P,2012,162,1287,12.5,P
1065,UNIVERSITY OF ALASKA SOUTHEAST                                   ,11066 AUKE LAKE WAY                               ,JUNEAU              ,AK,ALASKA                                                      ,99801,8680,8,1,2014,42,446,9.4,P,5,AL      ,10,False,2013,34,438,7.7,P,2012,54,465,11.6,P
1072,COCHISE COLLEGE                                                  ,901 NORTH COLOMBO                                 ,SIERRA VISTA        ,AZ,ARIZONA                                                     ,85635,2317,5,1,2014,16,262,6.1,A,3,08      ,9,False,2013,19,362,5.2,A,2012,36,374,9.6,A
1074,GRAND CANYON UNIVERSITY                                          ,3300 WEST CAMELBACK ROAD                          ,PHOENIX             ,AZ,ARIZONA                                                     ,85017,3030,8,3,2014,2278,26545,8.5,A,5,04      ,9,False,2013,2218,24074,9.2,A,2012,2331,22551,10.3,A
1081,ARIZONA STATE UNIVERSITY                                         ,FINANCIAL AID & SCHOLARSHIP SRVCS  1151 SOUTH FORE,TEMPE               ,AZ,ARIZONA                                                     ,85287,0412,8,1,2014,1175,17420,6.7,A,5,05      ,9,False,2013,1131,16222,6.9,A,2012,1096,14964,7.3,A
1082,NORTHERN ARIZONA UNIVERSITY                                      ,"GAMMAGE, BUILDING #1 KNOLES DRIVE  ROOM 209       ",FLAGSTAFF           ,AZ,ARIZONA                                                     ,86011,0001,8,1,2014,509,6999,7.2,A,5,01      ,9,False,2013,450,6708,6.7,A,2012,463,6336,7.3,A
1083,UNIVERSITY OF ARIZONA (THE)                                      ,PO BOX 210066                      ADMINISTRATION ,TUCSON              ,AZ,ARIZONA                                                     ,85721,0066,8,1,2014,449,6686,6.7,P,5,07      ,9,False,2013,346,6122,5.6,P,2012,384,6390,6,P
1088,LYON COLLEGE                                                     ,2300 HIGHLAND ROAD                                ,BATESVILLE          ,AR,ARKANSAS                                                    ,72501,3699,6,2,2014,16,201,7.9,A,5,01      ,6,False,2013,10,149,6.7,A,2012,13,202,6.4,A
1090,ARKANSAS STATE UNIVERSITY                                        ,2105 AGGIE ROAD                                   ,JONESBORO           ,AR,ARKANSAS                                                    ,72401,0000,8,1,2014,322,4475,7.1,P,5,01      ,6,False,2013,463,4871,9.5,P,2012,482,4719,10.2,P
1092,UNIVERSITY OF CENTRAL ARKANSAS                                   ,201 DONAGHEY AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72035,0001,8,1,2014,232,2615,8.8,A,5,02      ,6,False,2013,218,2639,8.2,A,2012,247,2701,9.1,A
1093,CENTRAL BAPTIST COLLEGE                                          ,1501 COLLEGE AVENUE                               ,CONWAY              ,AR,ARKANSAS                                                    ,72034,6470,6,2,2014,33,262,12.5,A,5,02      ,6,False,2013,28,210,13.3,A,2012,23,211,10.9,A
1098,HENDERSON STATE UNIVERSITY                                       ,1100 HENDERSON STREET                             ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71999,0001,8,1,2014,115,1099,10.4,A,5,04      ,6,False,2013,147,1121,13.1,A,2012,163,1092,14.9,A
1101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK                            ,2801 SOUTH UNIVERSITY                             ,LITTLE ROCK         ,AR,ARKANSAS                                                    ,72204,1099,8,1,2014,339,3485,9.7,A,5,02      ,6,False,2013,342,3542,9.6,A,2012,289,3353,8.6,A
1102,OUACHITA BAPTIST UNIVERSITY                                      ,410 OUACHITA DRIVE                                ,ARKADELPHIA         ,AR,ARKANSAS                                                    ,71998,0001,6,2,2014,19,289,6.5,A,5,04      ,6,False,2013,21,270,7.7,A,2012,20,290,6.8,A
1106,WILLIAMS BAPTIST COLLEGE                                         ,60 W. FULLBRIGHT AVENUE                           ,WALNUT RIDGE        ,AR,ARKANSAS                                                    ,72476,4661,8,2,2014,11,179,6.1,A,5,01      ,6,False,2013,14,179,7.8,A,2012,16,178,8.9,A
1108,UNIVERSITY OF ARKANSAS                                           ,425 ADMINISTRATION BUILDING                       ,FAYETTEVILLE        ,AR,ARKANSAS                                                    ,72701,0000,8,1,2014,261,3837,6.8,P,5,03      ,6,False,2013,246,3722,6.6,P,2012,220,3460,6.3,P
1116,ART CENTER COLLEGE OF DESIGN                                     ,1700 LIDA STREET                                  ,PASADENA            ,CA,CALIFORNIA                                                  ,91103,1999,8,2,2014,27,412,6.5,A,5,29      ,9,False,2013,18,451,3.9,A,2012,15,462,3.2,A
1127,CALIFORNIA COLLEGE OF THE ARTS                                   ,1111 EIGHTH STREET                                ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94107,2206,8,2,2014,28,488,5.7,A,5,08      ,9,False,2013,29,517,5.6,A,2012,17,504,3.3,A
1132,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,VALENCIA            ,CA,CALIFORNIA                                                  ,91355,2397,8,2,2014,19,362,5.2,A,5,25      ,9,False,2013,17,413,4.1,A,2012,19,355,5.3,A
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY                            ",25800 CARLOS BEE BOULEVARD                        ,HAYWARD             ,CA,CALIFORNIA                                                  ,94542,3000,8,1,2014,181,3116,5.8,A,5,13      ,9,False,2013,155,2914,5.3,A,2012,120,2576,4.6,A
1140,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES                         ",5151 STATE UNIVERSITY DRIVE                       ,LOS ANGELES         ,CA,CALIFORNIA                                                  ,90032,4226,8,1,2014,218,3891,5.6,A,3,32      ,9,False,2013,192,4020,4.7,A,2012,211,3463,6,A
1141,"CALIFORNIA STATE UNIVERSITY, DOMINGUEZ HILLS                     ",1000 EAST VICTORIA STREET                         ,CARSON              ,CA,CALIFORNIA                                                  ,90747,0001,8,1,2014,248,3226,7.6,A,3,37      ,9,False,2013,211,3251,6.4,A,2012,215,2784,7.7,A
1142,"CALIFORNIA STATE UNIVERSITY, SAN BERNARDINO                      ",5500 UNIVERSITY PARKWAY                           ,SAN BERNARDINO      ,CA,CALIFORNIA                                                  ,92407,2397,8,1,2014,224,3891,5.7,A,3,41      ,9,False,2013,223,3842,5.8,A,2012,254,3669,6.9,A
1146,"CALIFORNIA STATE UNIVERSITY, CHICO                               ",400 WEST FIRST STREET                             ,CHICO               ,CA,CALIFORNIA                                                  ,95929,0001,8,1,2014,167,3081,5.4,A,5,02      ,9,False,2013,120,3051,3.9,A,2012,162,2902,5.5,A
1147,"CALIFORNIA STATE UNIVERSITY, FRESNO                              ",5150 NORTH MAPLE AVENUE            MS JA64        ,FRESNO              ,CA,CALIFORNIA                                                  ,93740,8026,8,1,2014,234,3809,6.1,P,3,21      ,9,False,2013,181,3712,4.8,P,2012,150,3463,4.3,P
1149,HUMBOLDT STATE UNIVERSITY                                        ,1 HARPST STREET                                   ,ARCATA              ,CA,CALIFORNIA                                                  ,95521,8299,8,1,2014,138,1907,7.2,A,5,01      ,9,False,2013,129,1902,6.7,A,2012,164,1773,9.2,A
1150,CALIFORNIA STATE UNIVERSITY - SACRAMENTO                         ,6000 J STREET                                     ,SACRAMENTO          ,CA,CALIFORNIA                                                  ,95819,6044,8,1,2014,304,5844,5.2,A,5,05      ,9,False,2013,309,5731,5.3,A,2012,298,5071,5.8,A
1153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,NORTHRIDGE          ,CA,CALIFORNIA                                                  ,91330,8307,8,1,2014,372,7110,5.2,P,3,27      ,9,False,2013,371,6921,5.3,P,2012,338,6467,5.2,P
1154,SAN FRANCISCO STATE UNIVERSITY                                   ,1600 HOLLOWAY AVENUE                              ,SAN FRANCISCO       ,CA,CALIFORNIA                                                  ,94132,1740,8,1,2014,316,5859,5.3,A,5,12      ,9,False,2013,232,5664,4,A,2012,317,5506,5.7,A
1157,"CALIFORNIA STATE UNIVERSITY, STANISLAUS                          ",ONE UNIVERSITY CIRCLE                             ,TURLOCK             ,CA,CALIFORNIA                                                  ,95382,0299,8,1,2014,113,1993,5.6,A,3,19      ,9,False,2013,87,1921,4.5,A,2012,100,1768,5.6,A
1177,COGSWELL POLYTECHNICAL COLLEGE                                   ,191 BAYPOINTE PARKWAY                             ,SAN JOSE            ,CA,CALIFORNIA                                                  ,95134,1697,8,3,2014,13,99,13.1,A,5,12      ,9,False,2013,4,71,5.6,A,2012,4,63,6.3,A
1183,HOLY NAMES UNIVERSITY                                            ,3500 MOUNTAIN BOULEVARD                           ,OAKLAND             ,CA,CALIFORNIA                                                  ,94619,1699,8,2,2014,38,457,8.3,P,5,09      ,9,False,2013,26,421,6.1,P,2012,15,381,3.9,P
1191,DIABLO VALLEY COLLEGE                                            ,321 GOLF CLUB ROAD                                ,PLEASANT HILL       ,CA,CALIFORNIA                                                  ,94523,1544,5,1,2014,23,180,12.7,A,5,10      ,9,False,2013,17,157,10.8,A,2012,15,128,11.7,A
1192,CUESTA COLLEGE                                                   ,HIGHWAY 1                                         ,SAN LUIS OBISPO     ,CA,CALIFORNIA                                                  ,93403,8106,5,1,2014,53,389,13.6,A,5,23      ,9,False,2013,42,451,9.3,A,2012,45,408,11,A
1196,DOMINICAN UNIVERSITY OF CALIFORNIA                               ,50 ACACIA AVENUE                                  ,SAN RAFAEL          ,CA,CALIFORNIA                                                  ,94901,2298,8,2,2014,35,661,5.2,A,5,06      ,9,False,2013,26,610,4.2,A,2012,17,622,2.7,A
1203,GLENDALE COMMUNITY COLLEGE                                       ,1500 NORTH VERDUGO ROAD                           ,GLENDALE            ,CA,CALIFORNIA                                                  ,91208,2894,5,1,2014,41,396,10.3,A,5,29      ,9,False,2013,22,249,8.8,A,2012,23,240,9.5,A
1206,GOLDEN WEST COLLEGE                                              ,15744 GOLDEN WEST STREET                          ,HUNTINGTON BEACH    ,CA,CALIFORNIA                                                  ,92647,2748,5,1,2014,36,268,13.4,A,5,46      ,9,False,2013,27,272,9.9,A,2012,28,236,11.8,A
1212,HUMPHREYS UNIVERSITY                                             ,6650 INGLEWOOD AVENUE                             ,STOCKTON            ,CA,CALIFORNIA                                                  ,95207,3896,8,2,2014,43,471,9.1,A,5,11      ,9,False,2013,55,559,9.8,A,2012,57,551,10.3,A
1236,MENLO COLLEGE                                                    ,1000 EL CAMINO REAL                               ,ATHERTON            ,CA,CALIFORNIA                                                  ,94027,4301,6,2,2014,10,166,6,A,5,14      ,9,False,2013,23,162,14.1,A,2012,12,150,8,A
1247,NAPA VALLEY COLLEGE                                              ,2277 NAPA VALLEJO HIGHWAY                         ,NAPA                ,CA,CALIFORNIA                                                  ,94558,6236,5,1,2014,14,103,13.5,A,5,01      ,9,False,2013,8,109,7.3,A,2012,13,114,11.4,A
1250,ORANGE COAST COLLEGE                                             ,2701 FAIRVIEW ROAD                                ,COSTA MESA          ,CA,CALIFORNIA                                                  ,92628,5005,5,1,2014,47,427,11,A,5,46      ,9,False,2013,54,466,11.5,A,2012,49,496,9.8,A
1252,HOPE INTERNATIONAL UNIVERSITY                                    ,2500 EAST NUTWOOD AVENUE                          ,FULLERTON           ,CA,CALIFORNIA                                                  ,92831,3104,8,2,2014,42,489,8.5,P,5,40      ,9,False,2013,26,448,5.8,A,2012,16,384,4.1,A
1253,FRESNO PACIFIC UNIVERSITY                                        ,1717 SOUTH CHESTNUT AVENUE                        ,FRESNO              ,CA,CALIFORNIA                                                  ,93702,4798,8,2,2014,86,1168,7.3,P,5,20      ,9,False,2013,75,1366,5.4,P,2012,82,1322,6.2,P
1255,PACIFIC OAKS COLLEGE                                             ,55 EUREKA STREET                                  ,PASADENA            ,CA,CALIFORNIA                                                  ,91103,3606,8,2,2014,30,483,6.2,A,5,29      ,9,False,2013,17,306,5.5,A,2012,11,142,7.7,A
1256,PACIFIC SCHOOL OF RELIGION                                       ,1798 SCENIC AVENUE                                ,BERKELEY            ,CA,CALIFORNIA                                                  ,94709,1323,8,2,2014,3,44,6.8,A,5,09      ,9,False,2013,0,50,0,A,2012,2,49,4,A
1258,PACIFIC UNION COLLEGE                                            ,1 ANGWIN AVENUE                                   ,ANGWIN              ,CA,CALIFORNIA                                                  ,94508,9797,8,2,2014,33,479,6.8,A,5,01      ,9,False,2013,29,474,6.1,A,2012,22,442,4.9,A
1281,WILLIAM JESSUP UNIVERSITY                                        ,2121 UNIVERSITY AVENUE                            ,ROCKLIN             ,CA,CALIFORNIA                                                  ,95765,3784,8,2,2014,19,338,5.6,A,5,16      ,9,False,2013,13,276,4.7,A,2012,18,213,8.4,A
1286,SANTA MONICA COLLEGE                                             ,1900 PICO BOULEVARD                               ,SANTA MONICA        ,CA,CALIFORNIA                                                  ,90405,1644,6,1,2014,38,366,10.3,A,5,30      ,9,False,2013,43,373,11.5,A,2012,33,313,10.5,A
1291,SIMPSON UNIVERSITY                                               ,2211 COLLEGE VIEW DRIVE                           ,REDDING             ,CA,CALIFORNIA                                                  ,96003,8606,8,2,2014,37,535,6.9,A,5,02      ,9,False,2013,22,523,4.2,A,2012,15,493,3,A
1343,WOODBURY UNIVERSITY                                              ,7500 NORTH GLENOAKS BOULEVARD                     ,BURBANK             ,CA,CALIFORNIA                                                  ,91504,1052,8,2,2014,28,447,6.2,A,3,27      ,9,False,2013,28,468,5.9,A,2012,34,435,7.8,A
1345,ADAMS STATE UNIVERSITY                                           ,208 EDGEMONT BOULEVARD                            ,ALAMOSA             ,CO,COLORADO                                                    ,81102,2373,8,1,2014,123,1132,10.8,A,3,03      ,8,False,2013,150,1153,13,A,2012,111,1183,9.3,A
1346,ARAPAHOE COMMUNITY COLLEGE                                       ,5900 SOUTH SANTA FE DRIVE                         ,LITTLETON           ,CO,COLORADO                                                    ,80160,9002,5,1,2014,332,2607,12.7,A,5,06      ,8,False,2013,344,2484,13.8,A,2012,364,2523,14.4,A
1349,UNIVERSITY OF NORTHERN COLORADO                                  ,501 20TH STREET                                   ,GREELEY             ,CO,COLORADO                                                    ,80639,0001,8,1,2014,168,3292,5.1,A,5,04      ,8,False,2013,162,3105,5.2,A,2012,152,3069,4.9,A
1353,FORT LEWIS COLLEGE                                               ,1000 RIM DRIVE                                    ,DURANGO             ,CO,COLORADO                                                    ,81301,3999,8,1,2014,98,973,10,A,5,03      ,8,False,2013,82,890,9.2,A,2012,77,915,8.4,A
1358,COLORADO MESA UNIVERSITY                                         ,1100 NORTH AVENUE                                 ,GRAND JUNCTION      ,CO,COLORADO                                                    ,81501,3122,8,1,2014,388,2827,13.7,A,5,03      ,8,False,2013,344,2671,12.8,A,2012,355,2469,14.3,A
1360,METROPOLITAN STATE UNIVERSITY OF DENVER                          ,890 AURARIA PARKWAY                               ,DENVER              ,CO,COLORADO                                                    ,80204,3362,8,1,2014,655,6690,9.7,A,5,01      ,8,False,2013,678,6821,9.9,A,2012,668,6573,10.1,A
1365,COLORADO STATE UNIVERSITY-PUEBLO                                 ,2200 BONFORTE BOULEVARD                           ,PUEBLO              ,CO,COLORADO                                                    ,81001,4901,8,1,2014,174,2105,8.2,A,5,03      ,8,False,2013,231,2572,8.9,A,2012,200,2185,9.1,A
1372,WESTERN STATE COLORADO UNIVERSITY                                ,600 N. ADAMS STREET                TAYLOR HALL    ,GUNNISON            ,CO,COLORADO                                                    ,81231,0000,8,1,2014,37,550,6.7,A,5,03      ,8,False,2013,32,563,5.6,A,2012,31,555,5.5,A
1374,ALBERTUS MAGNUS COLLEGE                                          ,700 PROSPECT STREET                               ,NEW HAVEN           ,CT,CONNECTICUT                                                 ,06511,1189,8,2,2014,44,664,6.6,A,5,03      ,1,False,2013,44,676,6.5,A,2012,47,699,6.7,A
1378,CENTRAL CONNECTICUT STATE UNIVERSITY                             ,1615 STANLEY STREET                               ,NEW BRITAIN         ,CT,CONNECTICUT                                                 ,06050,2490,8,1,2014,171,2795,6.1,A,5,05      ,1,False,2013,136,2767,4.9,A,2012,108,2664,4,A
1380,WESTERN CONNECTICUT STATE UNIVERSITY                             ,181 WHITE STREET                                  ,DANBURY             ,CT,CONNECTICUT                                                 ,06810,6826,8,1,2014,92,1442,6.3,A,5,05      ,1,False,2013,109,1523,7.1,A,2012,99,1443,6.8,A
1392,MANCHESTER COMMUNITY COLLEGE                                     ,GREAT PATH                                        ,MANCHESTER          ,CT,CONNECTICUT                                                 ,06045,1046,5,1,2014,9,110,8.1,P,5,01      ,1,False,2013,9,113,7.9,P,2012,7,107,6.5,P
1393,MITCHELL COLLEGE                                                 ,437 PEQUOT AVENUE                                 ,NEW LONDON          ,CT,CONNECTICUT                                                 ,06320,4498,6,2,2014,25,254,9.8,A,5,02      ,1,False,2013,33,290,11.3,A,2012,34,287,11.8,A
1398,NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                       ,PARK PLACE EAST                                   ,WINSTED             ,CT,CONNECTICUT                                                 ,06098,1747,5,1,2014,6,60,10,B,5,01      ,1,True,2013,6,64,9.3,B,2012,4,66,6,B
1399,NORWALK COMMUNITY COLLEGE                                        ,188 RICHARDS AVENUE                               ,NORWALK             ,CT,CONNECTICUT                                                 ,06854,1655,5,1,2014,3,35,8.5,P,5,04      ,1,False,2013,4,38,10.5,P,2012,1,33,3,P
1406,SOUTHERN CONNECTICUT STATE UNIVERSITY                            ,501 CRESCENT STREET                               ,NEW HAVEN           ,CT,CONNECTICUT                                                 ,06515,1355,8,1,2014,176,3009,5.8,A,5,03      ,1,False,2013,179,3079,5.8,A,2012,126,3112,4,A
1416,UNIVERSITY OF BRIDGEPORT                                         ,126 PARK AVENUE                                   ,BRIDGEPORT          ,CT,CONNECTICUT                                                 ,06601,5650,8,2,2014,110,1232,8.9,P,5,04      ,1,False,2013,109,1176,9.2,P,2012,100,1124,8.8,P
1422,UNIVERSITY OF HARTFORD                                           ,200 BLOOMFIELD AVENUE                             ,WEST HARTFORD       ,CT,CONNECTICUT                                                 ,06117,1599,8,2,2014,108,1682,6.4,P,5,01      ,1,False,2013,72,1701,4.2,P,2012,75,1758,4.2,P
1425,EASTERN CONNECTICUT STATE UNIVERSITY                             ,83 WINDHAM STREET                                 ,WILLIMANTIC         ,CT,CONNECTICUT                                                 ,06226,2295,8,1,2014,82,1507,5.4,A,5,02      ,1,False,2013,82,1532,5.3,A,2012,59,1388,4.2,A
1428,DELAWARE STATE UNIVERSITY                                        ,1200 NORTH DUPONT HIGHWAY                         ,DOVER               ,DE,DELAWARE                                                    ,19901,2277,8,1,2014,164,1259,13,A,2,AL      ,3,False,2013,180,1246,14.4,A,2012,142,1184,11.9,A
1429,GOLDEY-BEACOM COLLEGE                                            ,4701 LIMESTONE ROAD                               ,WILMINGTON          ,DE,DELAWARE                                                    ,19808,1993,8,2,2014,15,212,7,A,5,AL      ,3,False,2013,28,249,11.2,A,2012,19,223,8.5,A
1436,CAPITOL TECHNOLOGY UNIVERSITY                                    ,11301 SPRINGFIELD ROAD                            ,LAUREL              ,MD,MARYLAND                                                    ,20708,9759,8,2,2014,18,165,10.9,A,5,05      ,3,False,2013,2,144,1.3,A,2012,8,117,6.8,A
1443,GALLAUDET UNIVERSITY                                             ,800 FLORIDA AVENUE NORTHEAST                      ,WASHINGTON          ,DC,DISTRICT OF ,20002,3695,8,2,2014,37,321,11.5,A,5,AL      ,3,False,2013,29,328,8.8,A,2012,15,279,5.3,A
1448,HOWARD UNIVERSITY                                                ,"2400 SIXTH STREET, NW                             ",WASHINGTON          ,DC,DISTRICT OF ,20059,0001,8,2,2014,201,2641,7.6,P,2,AL      ,3,False,2013,179,2955,6,P,2012,225,2860,7.8,P
1459,STRAYER UNIVERSITY                                               ,1133 15TH  STREET NW                              ,WASHINGTON          ,DC,DISTRICT OF ,20005,2603,8,3,2014,3574,27068,13.2,A,5,AL      ,3,False,2013,3027,26776,11.3,A,2012,3229,27802,11.6,A
1460,TRINITY COLLEGE                                                  ,"125 MICHIGAN AVENUE, NORTHEAST                    ",WASHINGTON          ,DC,DISTRICT OF ,20017,1004,8,2,2014,103,1001,10.2,A,5,AL      ,3,False,2013,89,970,9.1,A,2012,91,867,10.4,A
1466,BARRY UNIVERSITY                                                 ,11300 NORTHEAST 2 AVENUE                          ,MIAMI SHORES        ,FL,FLORIDA                                                     ,33161,6628,8,2,2014,240,3166,7.5,A,3,17      ,4,False,2013,183,3091,5.9,A,2012,162,3156,5.1,A
1468,SAINT THOMAS UNIVERSITY                                          ,16401 N W 37TH AVENUE                             ,MIAMI GARDENS       ,FL,FLORIDA                                                     ,33054,0000,8,2,2014,58,822,7,P,3,17      ,4,False,2013,44,849,5.1,P,2012,58,890,6.5,P
1469,FLORIDA INSTITUTE OF TECHNOLOGY                                  ,150 WEST UNIVERSITY BOULEVARD                     ,MELBOURNE           ,FL,FLORIDA                                                     ,32901,6988,8,2,2014,359,3350,10.7,A,5,15      ,4,False,2013,378,3445,10.9,A,2012,447,3586,12.4,A
1479,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                             ,600 SOUTH CLYDE MORRIS BOULEVARD                  ,DAYTONA BEACH       ,FL,FLORIDA                                                     ,32114,3900,8,2,2014,177,3035,5.8,A,5,07      ,4,False,2013,147,3015,4.8,A,2012,99,2849,3.4,A
1480,FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY                     ,1500 S MARTIN LUTHER KING JR BLVD                 ,TALLAHASSEE         ,FL,FLORIDA                                                     ,32307,3100,8,1,2014,475,3742,12.6,A,2,02      ,4,False,2013,494,3593,13.7,A,2012,518,3506,14.7,A
1481,FLORIDA ATLANTIC UNIVERSITY                                      ,777 GLADES ROAD                                   ,BOCA RATON          ,FL,FLORIDA                                                     ,33431,6498,8,1,2014,369,5829,6.3,A,5,19      ,4,False,2013,294,5615,5.2,A,2012,312,5029,6.2,A
1482,FLORIDA COLLEGE                                                  ,119 NORTH GLEN ARVEN AVENUE                       ,TEMPLE TERRACE      ,FL,FLORIDA                                                     ,33617,5578,6,2,2014,13,184,7,A,5,12      ,4,False,2013,9,182,4.9,A,2012,8,183,4.3,A
1487,ECKERD COLLEGE                                                   ,4200 54TH AVENUE SOUTH                            ,SAINT PETERSBURG    ,FL,FLORIDA                                                     ,33711,4744,6,2,2014,31,522,5.9,A,5,10      ,4,False,2013,39,548,7.1,A,2012,43,616,6.9,A
